DistrictName,SCConstID
अछाम,2
अर्घाखांची,1
इलाम,2
उदयपुर,2
ओखलढुंगा,1
कन्चनपुर,3
कपिलवस्तु,3
काठमाडौं,10
काभ्रेपलाञ्चोक,2
कालिकोट,1
कास्की,3
कैलाली,5
खोटाङ्ग,1
गुल्मी,2
गोरखा,2
चितवन,3
जाजरकोट,1
जुम्ला,1
झापा,5
डडेलधुरा,1
डोटी,1
डोल्पा,1
तनहुँ,2
ताप्लेजुंग,1
तेर्हथुम,1
दाङ,3
दार्चुला,1
दैलेख,2
दोलखा,1
धनकुटा,1
धनुषा,4
धादिङ्ग,2
नवलपरासी (बर्दघाट सुस्ता पश्चिम),2
नवलपरासी (बर्दघाट सुस्ता पूर्व),2
नुवाकोट,2
पर्वत,1
पर्सा,4
पाँचथर,1
पाल्पा,2
प्यूठान,1
बझाङ्ग,1
बर्दिया,2
बाँके,3
बागलुङ,2
बाजुरा,1
बारा,4
बैतडी,1
भक्तपुर,2
भोजपुर,1
मकवानपुर,2
मनाङ्ग,1
महोत्तरी,4
मुगु,1
मुस्तांग,1
मोरङ्ग,6
म्याग्दी,1
रसुवा,1
रामेछाप,1
रुकुम पश्चिम,1
रुकुम पूर्व,1
रुपन्देही,5
रोल्पा,1
रौतहट,4
लमजुंग,1
ललितपुर,3
संखुवासभा,1
सप्तरी,4
सर्लाही,4
सल्यान,1
सिन्धुपाल्चोक,2
सिन्धुली,2
सिराहा,4
सुनसरी,4
सुर्खेत,2
सोलुखुम्बु,1
स्याङ्जा,2
हुम्ला,1
